09/26 12:23:14.647 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/server/list] onto handler 'buMgrServerController'
09/26 12:23:14.647 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/server/list.*] onto handler 'buMgrServerController'
09/26 12:23:14.647 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/server/list/] onto handler 'buMgrServerController'
09/26 12:23:14.647 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/server/create] onto handler 'buMgrServerController'
09/26 12:23:14.647 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/server/create.*] onto handler 'buMgrServerController'
09/26 12:23:14.648 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/server/create/] onto handler 'buMgrServerController'
09/26 12:23:14.648 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/server/isalive] onto handler 'buMgrServerController'
09/26 12:23:14.648 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/server/isalive.*] onto handler 'buMgrServerController'
09/26 12:23:14.648 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/server/isalive/] onto handler 'buMgrServerController'
09/26 12:23:14.648 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/server/delete/{serverId}] onto handler 'buMgrServerController'
09/26 12:23:14.648 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/server/delete/{serverId}.*] onto handler 'buMgrServerController'
09/26 12:23:14.648 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/server/delete/{serverId}/] onto handler 'buMgrServerController'
09/26 12:23:14.649 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/sub_menu/list] onto handler 'buMgrSubMenuController'
09/26 12:23:14.649 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/sub_menu/list.*] onto handler 'buMgrSubMenuController'
09/26 12:23:14.649 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/sub_menu/list/] onto handler 'buMgrSubMenuController'
09/26 12:23:14.649 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/sub_menu/create/{server_id}] onto handler 'buMgrSubMenuController'
09/26 12:23:14.649 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/sub_menu/create/{server_id}.*] onto handler 'buMgrSubMenuController'
09/26 12:23:14.649 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/sub_menu/create/{server_id}/] onto handler 'buMgrSubMenuController'
